english,translate
Earthen Cyclone[s],[Земляной циклон|Земляных циклона|Земляных циклонов]
Earthworks,Земляные укрепления
Earthy Lever,Земляной рычаг
East Cannon Gunner,Канонир восточной пушки
East Gate Sentry,Часовой восточных врат
East Maw defenses destroyed,Оборона Восточной Пасти уничтожена
East Maw defenses remaining: %num1%,Осталось обороны Восточной Пасти: %num1%
East Maw: Escorting demolitionist,Восточная Пасть: сопровождение подрывника
East Maw: Fighting Realm Keeper,Восточная Пасть: бой с Хранителем царства
East Maw: Realm portal closed!,Восточная Пасть: портал царства закрыт!
East Maw: Sapping realm portal,Восточная Пасть: подрыв портала царства
East Tower,Восточная башня
East Trap Power,Мощность восточной ловушки
"East of Viper's Run is Branded territory. Sentinels have been posted at Lake Desolann and Crystalwept Groves to hold back Kralkatorrik's minions, who are as thick as flies on garbage out there. Ogres are helping them maintain the northern perimeter. Lend them a hand if you think you can survive the Brand.","К востоку от Змеиного Пробега — земли клеймёных. У озера Десоланн и в Хрустальноплачущих Рощах выставлены часовые, чтобы сдерживать прислужников Кралькаторрика, которых там как мух на помойке. Огры помогают им держать северный рубеж. Подсоби им, если думаешь, что переживёшь Клеймо."
Eastern Earthworks,Восточные земляные укрепления
Eastern Edge,Восточный край
Eastern Flame Brazier,Восточная огненная жаровня
"Eastern battery, Tequatl is closing on your location.","Восточная батарея, Текуатль приближается к вашей позиции."
Easy does it.,Полегче.
Easy marks.,Лёгкая добыча.
Easy now.,Спокойно.
"Easy, just escort me to the spring.",Проще простого — просто проводи меня к источнику.
Eat death!,Отведай смерти!
Eat my dust!,Глотай мою пыль!
"Eat rust, Blood. The day you want to tackle more than one enemy at a time, you call us.","Жри ржавчину, Кровь. В тот день, когда захочешь взяться больше чем за одного врага разом, — зови нас."
Eating is fun.,Есть — это здорово.
Eats Insect Larvae,Ест личинок насекомых
Eats and Seeks Treasure,Ест и ищет сокровища
Eavesdroppers,Подслушивающие
Ebb...and flow...,Отлив... и прилив...
Ebelek Eze,Эбелек Эзе
Eben wie Eis,Точно как лёд.
Eblo,Эбло
Ebon Hawke Asura Gate,Асура-врата Эбон-Хока
Ebon Vanguard Warrior: Enemy spotted!,Воин Чёрного Авангарда: Враг замечен!
Ebon Vanguard are enroute to Splintercrest Fort to talk to the charr and propose a joint plan of attack on ogres.,"Чёрный Авангард направляется в форт Осколочный Гребень, чтобы поговорить с чаррами и предложить совместный план нападения на огров."
"Ebon-Vorhut-Unterstützer[f:""Unterstützerin""]",Ебонова стража[|ец|иц]
Ebonhawke Asura Gate,Асура-врата Эбонхока
Ebonhawke Emissary,Посланник Эбонхока
Ebonhawke Soldier,Солдат Эбонхока
Ebonhawke... This is good-bye. I hope it won't be long before I see your great wings again.,"Эбонхок... Это прощание. Надеюсь, я не слишком нескоро вновь увижу твои великие крылья."
Echa una mano a un quaggan,Помоги кваггану.
Echando a la Inquisa,Избавляемся от Инквизиции.
Echar una pata a los kodan del día,Помогите коданским поселенцам.
Echo of Isgarren,Эхо Исгаррена
Echo of Scarlet Briar,Эхо Скарлет Брайар
Echo of Sidony the Shadowkeeper,Эхо Сидони Хранительницы Теней
"Echo-Ausweicher[f:""Ausweicherin""]",Эхо-избегающ[ий|ая]
Echo-One,Эхо-Один
Echolotung,Эхолокация
Echos der Vergangenheit,Эхо прошлого
Echos des Obskuren,Эхо Тьмы
Echovald Wilds Insight,Озарение: Дебри Эховальда
Echovald descompuesta,Эховолд разрушен.
Echovald's finest.,"Лучшее, что есть в Эховальде."
Echowald in Auflösung,Эхолес в развале
"Echowald-Wildnis-Fischer[f:""Fischerin""]",Эховальдийский лесной рыбак[|ца]
"Echowald-Wildnis-Taucher[f:""Taucherin""]",Эховальский дикий ныряльщик[|щица]
Ecolocación,Эхолокация
Ecos de lo oscuro,Эхо Тьмы
Ectoplasmic Ooze[s],[Эктоплазменная слизь|Эктоплазменные слизи|Эктоплазменных слизей]
Edd'ard Sandtail,Эдд’ард Песчаный Хвост
Edella,Эделла
Edgar the Cat,Кот Эдгар
Edifi's spell completes in: %str1%,Заклинание Эдифи завершится через: %str1%
Edles vom Strand,Благородный песок с пляжа
Edrar,Эдрар
Edwina,Эдвина
Edwon,Эдвон
Eegyoo,Игью
Eendgo Bockclaw,Эндго Козлиный Коготь
Eero,Ээро
Effective. Now finish this. There can be no mercy for the enemies of King Joko the Beloved.,Действенно. А теперь заканчивай. Врагам короля Джоко Возлюбленного пощады быть не может.
Effects Vortex,Вихрь эффектов
Effigy Core,Ядро чучела
"Effizienter[f:""Effiziente""] Verteidiger[f:""Verteidigerin""]",Эффективный[|ая] защитник[|ца]
Efforts to defeat the great jungle wurm have failed. The great jungle wurm is terrorizing the coast.,Попытки одолеть большого джунглевого вурма провалились. Большой джунглевый вурм терзает побережье.
Egg Basket,Корзина яиц
Egg Clutch,Кладка яиц
Egg Sack,Яйцевой мешок
Eggs destroyed,Яиц уничтожено
Eggs intact,Яиц уцелело
Egoperspektive aktivieren,Включить вид от первого лица.
Egregious damage has been sustained. Temporarily suspending combat.,Получен чудовищный урон. Временно приостанавливаю бой.
"Eh, we've been talking. We're good again.","А, мы поговорили. У нас снова всё хорошо."
Eh. I was hoping you were my relief.,"Эх. А я надеялся, что ты моя смена."
Eh? You need something?,А? Тебе что-то нужно?
"Ehmry-Bucht-Veteran[f:""Veteranin""]",Ветеранка бухты Эмри
Ehren-Falke,Эрен-Фальке
"Ehren-Klempner[f:""Klempnerin""]",Эрен-сантехник[|ша]
Ehrenamtliche Astralwache,Волонтёрская астральная стража
"Ehrenbürger[f:""Ehrenbürgerin""] von Neu-Kaineng",Почётный гражданин/гражданка Нового Каиненга
"Ehrenbürger[f:""Ehrenbürgerin""] von Rata Novus",Почётный гражданин/гражданка Рата-Новуса
Ehrengäste,Почётные гости
Ehrenhafte Verbeugung,Почтительный поклон
Ehrenritual,Ритуал чести
Ehrt das goldene Herz,Почитай золотое сердце.
Ehuatl,Эуатль
Eibe Ravenswit,Эйбе Воронья Смекалка
Eierlauf,Эстафета с яйцами
"Eierschützer[f:""Eierschützerin""]",Защитник яиц[|ца]
"Eifriger[f:""Eifrige""] ""Horn von Maguuma""-Fischer[f:""Fischerin""]",Рьяный рыбак «Рога Магуумы»
"Eifriger[f:""Eifrige""] Castora-Fischer[f:""Fischerin""]",Активный[Eифрiger] рыбак[|а|и] Касторы-Фисчерин[|а|ы]
"Eifriger[f:""Eifrige""] Feuerring-Fischer[f:""Fischerin""]",Рьяный[|ая] рыбак[|ца] Огненного Кольца
"Eifriger[f:""Eifrige""] Fischer[f:""Fischerin""] der Echowald-Wildnis",Рьяный рыбак (рыбачка) дикой местности Эхолесья
"Eifriger[f:""Eifrige""] Fischer[f:""Fischerin""] der Provinz Seitung",Рьяный рыбак/рыбачка провинции Сэйтунг.
