english,translate
Mordremoth's Claw,Коготь Мордремофа
Mordremoth's Fang,Клык Мордремота
Mordremoth's Flight,Полёт Мордремота
Mordremoth's Gaze,Взгляд Мордремота
Mordremoth's Insight,Проницательность Мордремота
Mordremoth's Persuasion,Убеждение Мордремота
Mordremoth's Rending,Разрыв Мордремота
Mordremoth's Scale,Чешуя Мордремота
Mordremoth's Tail,Хвост Мордремота
Mordremoth's Voice,Голос Мордремота
Mordremoth's Weight,Вес Мордремота
Mordremoth's Wing,Крыло Мордремота
Mordremoth's Wisdom,Мудрость Мордремота
Mystic Smoking Pipe,Мистическая Курительная Трубка
Mystical Beast Axe,Мистический Звериный Топор
Mystical Beast Dagger,Мистический Звериный Кинжал
Mystical Beast Focus,Мистический Звериный Фокус
Mystical Beast Greatsword,Мистический Звериный Большой Меч
Mystical Beast Hammer,Мистический звериный молот
Mystical Beast Longbow,Мистический звериный длинный лук
Mystical Beast Mace,Мистическая звериная булава
Mystical Beast Pistol,Мистический звериный пистолет
Mystical Beast Rifle,Мистическая звериная винтовка
Mystical Beast Scepter,Мистический звериный скипетр
Mystical Beast Shield,Мистический звериный щит
Mystical Beast Short Bow,Мистический звериный короткий лук
Mystical Beast Spear,Мистическое звериное копьё
Mystical Beast Staff,Мистический звериный посох
Mystical Beast Sword,Мистический звериный меч
Mystical Beast Torch,Мистический звериный факел
Mystical Beast Warhorn,Мистический звериный боевой рог
Mystical Dragon Horns,Мистические рога дракона
Mythic Axe,Мифический топор
Mythic Dagger,Мифический кинжал
Mythic Focus,Мифический фокус
Mythic Greatsword,Мифический большой меч
Mythic Hammer,Мифический молот
Mythic Longbow,Мифический длинный лук
Mythic Mace,Мифическая булава
Mythic Pistol,Мифический пистолет
Mythic Rifle,Мифическая винтовка
Mythic Scepter,Мифический скипетр
Mythic Shield,Мифический щит
Mythic Short Bow,Мифический короткий лук
Mythic Staff,Мифический посох
Mythic Sword,Мифический меч
Mythic Torch,Мифический факел
Mythic Warhorn,Мифический рог
Naga Spirit Backpack,Рюкзак духа нага
Necrotic Essence Axe,Топор некротической эссенции
Necrotic Essence Dagger,Кинжал некротической эссенции
Necrotic Essence Focus,Фокус некротической эссенции
Necrotic Essence Greatsword,Большой меч некротической эссенции
Necrotic Essence Hammer,Молот некротической эссенции
Necrotic Essence Longbow,Длинный лук некротической эссенции
